Participant_ID,Age,Gender,Score,Reason,Story,Gaze,Audio
1,20,Female,8,I don't see why she would lie. It seems quite credible,1,Up,On
1,20,Female,4,They looked down a lot and didn't seem that convincing,2,Down,Off
1,20,Female,5,She doesn't seem emotionally invested in what she is saying at all,3,Down,On
1,20,Female,8,She looks at the camera and seems thoughtful,4,Up,Off
2,22,Female,9,Opening up about personal details,1,Up,On
2,22,Female,2,Her looking down all the time,2,Down,Off
2,22,Female,1,"Her looking down, not being excited about her own story. Very little emotions communicated with her eyes",3,Down,On
2,22,Female,10,She seemed to try to remember the story and seemed very engaged with the audience,4,Up,Off
3,26,Male,9,"I think, if people look around they are trying to recall memories. Making it more trustworthy",1,Up,On
3,26,Male,6,I don't know. She keeps looking down which is weird,2,Down,Off
3,26,Male,6,"I don't think her story of events, match the way that she got a big compliment. I would expect more happiness?",3,Down,On
3,26,Male,9,"Her looking up and then into the camera, seems like she is trying to remember things and then when she remembers them she tells them to the camera. I see that as a person who is telling the Truth",4,Up,Off
4,21,Female,5,Facial expressions and body language.,1,Up,On
4,21,Female,3,Body language,2,Down,Off
4,21,Female,5,Inconclusive manner of speech,3,Down,On
4,21,Female,2,Body language,4,Up,Off
5,22,Female,3,"The face mask and she was looking away a lot, not really having eye contact.",1,Up,On
5,22,Female,8,"It looks like she feels sad about the story, because she looks down. When she isnt looking down, shes keeping good eye contact and not looking around the room.",2,Down,Off
5,22,Female,8,"It was quite reliable, she was short and consice.",3,Down,On
5,22,Female,5,"Shes looking away quite a lot, but it looks like it was a distressing story, so maybe that could be the reason. Because you cant hear her, its hard to know if shes taking breaks to think about the story/backtracking.",4,Up,Off
6,20,Male,8,"Didn't stutter, facts lined up, seems pointless to lie about it",1,Up,On
6,20,Male,6,Can't hear them but body language doesn't seem to indicate nervousness that would indicate lying.,2,Down,Off
6,20,Male,5,"I guess people being silent wouldn't mean they were amazed by her singing, so the guy wouldn't approach her",3,Down,On
6,20,Male,2,Looking around the room constantly and taking long breaks between sentences might suggest making things up on the spot for the story,4,Up,Off
7,27,Male,9,,1,Up,On
7,27,Male,5,,2,Down,Off
7,27,Male,6,,3,Down,On
7,27,Male,7,,4,Up,Off
8,19,Male,10,"Seems legit, tourists can be easily impressed",1,Up,On
8,19,Male,8,Seems to be remembering something,2,Down,Off
8,19,Male,4,"I wouldnt bost around like that, so the content",3,Down,On
8,19,Male,6,Maybe a bit too much looking around,4,Up,Off
9,18,Female,8,,1,Up,On
9,18,Female,9,,2,Down,Off
9,18,Female,6,,3,Down,On
9,18,Female,9,,4,Up,Off
10,20,Female,8,I do not see any reason why the person would lie about such an event,1,Up,On
10,20,Female,6,"The person was avoiding eye contact by looking down, which feels much more avoidant than just shy (when a person cannot hold eye contact because of that)",2,Down,Off
10,20,Female,8,"I do not see a reason why she would lie about that, the looking down in this context feels more like recollecting her thoughts and just getting over her low self-esteeem when it comes to singing",3,Down,On
10,20,Female,10,"she seems very excited and just into that story she is telling, does not seem all that suspicious",4,Up,Off
11,23,Male,3,"Looking around anxiously, looking up and to the side and breaking eye contact a lot. She speaks inconsistently and she sounds unsure of her story",1,Up,On
11,23,Male,1,"Not holding eye contact.  Blinking a lot, looking down and looking ashamed, possibly from not telling the truth",2,Down,Off
11,23,Male,9,Healthy amount of eye contact and consistency of speech made me think she is telling the truth,3,Down,On
11,23,Male,10,She has the look of genuine excitement in her eyes and expressions while she is telling the story. She is probably not lying.,4,Up,Off
12,23,Female,2,"The intonation of the voice, the fact that at one moment the story wasn’t very cohesive",1,Up,On
